name,locale,all_characters,character_count,source_file,sub_code
Phags-pa,mn-Phag, !%&()+-0123456789=? ᠁᠂᠃᠄᠅ ​‌‍— ⁈⁉、。〈〉《》〔〕ꡀꡁꡂꡃꡄꡅꡆꡇꡈꡉꡊꡋꡌꡍꡎꡏꡐꡑꡒꡓꡔꡕꡖꡗꡘꡙꡚꡛꡜꡝꡞꡟꡠꡡꡢꡣꡤꡥꡦꡧꡨꡩꡪꡫꡬꡭꡮꡯꡰꡱꡲꡳ꡴꡵꡶꡷︀,99,kbdphags.ldml,kbdphags
United States-Dvorak,en-US," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\]^_`abcdefghijklmnopqrstuvwxyz{|}~",95,KBDDV.ldml,KBDDV
Faeroese,fo-FO," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{^}\m{`}\m{~}\m{¨}\m{´}]_abcdefghijklmnopqrstuvwxyz{|}£¤§µ½ÅÆÐØåæðø€",111,KBDFO.ldml,KBDFO
Canadian Multilingual Standard,en-CA," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{^}\m{`}\m{~}\m{¨}\m{¯}\m{´}\m{·}\m{¸}\m{ˇ}\m{˘}\m{˚}\m{˛}\m{˝}]_abcdefghijklmnopqrstuvwxyz{|}~ ¡¢£¤¥¦§©ª«¬­®°±²³µ¶¹º»¼½¾¿ÀÆÇÈÉÐ×ØÙÞßàæçèéð÷øùþĦħıĲĳĸĿŀŁłŉŊŋŒœŦŧ―‘’“”€™Ω⅜⅝⅞←↑→↓♪",187,KBDCAN.ldml,KBDCAN
Hungarian,hu-HU," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{^}\m{¨}\m{°}\m{´}\m{¸}\m{ˇ}\m{˘}\m{˙}\m{˛}\m{˝}]_`abcdefghijklmnopqrstuvwxyz{|}~¤§ÁÄÉÍÓÖ×ÚÜßáäéíóö÷úüĐđŁłŐőŰű€",134,KBDHU.ldml,KBDHU
Lithuanian IBM,lt-LT," !""()+-./0123456789:;=?ABCDEFGHIJKLMNOPRSTUVYZ[\]_`abcdefghijklmnoprstuvyz{|}~ĄąČčĖėĘęĮįŠšŪūŲųŽž“”€",100,KBDLT.ldml,KBDLT
Cherokee Nation,chr-Cher-US," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\]^_`abcdefghijklmnopqrstuvwxyz{|}~ᎠᎡᎢᎣᎣᏏᏲᎤᎥᎦᎧᎨᎩᎪᎫᎬᎭᎮᎯᎰᎱᎲᎳᎴᎵᎶᎷᎸᎹᎺᎻᎼᎽᎾᎿᏀᏁᏂᏃᏄᏅᏆᏇᏈᏉᏊᏋᏌᏍᏎᏏᏐᏑᏒᏓᏔᏕᏖᏗᏘᏙᏚᏛᏜᏝᏞᏟᏠᏡᏢᏣᏣᎳᎩᏤᏥᏦᏧᏨᏩᏩᏙᏪᏫᏬᏭᏮᏯᏰᏱᏲᏳᏴ",183,KBDCHER.ldml,KBDCHER
Serbian (Cyrillic),sr-Cyrl-CS," !""#$%&()*+-./0123456789:;<=>?\m{'}_`~ЂЅЈЉЊЋЏАБВГДЕЖЗИКЛМНОПРСТУФХЦЧШабвгдежзиклмнопрстуфхцчшђѕјљњћџ€",98,KBDYCC.ldml,KBDYCC
Kannada,kn-IN, ()-.0123456789\u{CCD}ರ|ಂಃಅಆಇಈಉಊಋಌಎಏಐಒಓಔಕಕ\u{CCD}ಷಖಗಘಙಚಛಜಜ\u{CCD}ಞಝಞಟಠಡಢಣತತ\u{CCD}ರಥದಧನಪಫಬಭಮಯರರ\u{CCD}ಱಲಳವಶಶ\u{CCD}ರಷಸಹಾಿೀುೂೃೄೆೇೈೊೋೌ್ೕೖೞೠೡ೦೧೨೩೪೫೬೭೮೯‌‍₹,106,KBDINKAN.ldml,KBDINKAN
Hausa,ha-Latn-NG," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\]^_`abcdefghijklmnopqrstuvwxyz{|}~¦¶ƁƊƘƙƳƴɓɗ‘’€",108,KBDHAU.ldml,KBDHAU
Pashto (Afghanistan),ps-AF," !""#$%&'()*+-./:;<=>?@[\]^_`{|}~ «°»×÷؋،؛؟ءآأؤإئابةتثجحخدذرزسشصضطظعغـفقكلمنهوىيًٌٍَُِّْٓٔٙ٪٫٬٭ٰٱٹټپځڅچڈډڑړږژښکګگڷںڼۇۉیۍېے۰۱۲۳۴۵۶۷۸۹‌‍‎‏•€",138,KBDPASH.ldml,KBDPASH
United States-Dvorak for right hand,en-US," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\]^_`abcdefghijklmnopqrstuvwxyz{|}~",95,KBDUSR.ldml,KBDUSR
Canadian French (Legacy),fr-CA," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{^}\m{`}\m{~}\m{¨}\m{´}\m{¸}]_abcdefghijklmnopqrstuvwxyz{|}¡¢£¤¥§©ª«¬®°±²³µ¶¹º»¼½¾¿ÀÆÇÈÉÐØÙÞßàæçèéðøùþ€",142,KBDFC.ldml,KBDFC
Scottish Gaelic,en-IE," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{'}\m{`}]^_`abcdefghijklmnopqrstuvwxyz{|}~£¦¬ÁÉÍÓÚÝáéíóúý’⁊€",115,KBDGAE.ldml,KBDGAE
